ok,error,ttft_ms,total_ms,output_tokens,decode_tps,prompt_tokens,text,concurrency
True,,447.07,857.9,64,155.5,22,A **vector database** is a type of datab,2
True,,448.04,849.79,64,159.4,24,Authentication in a system refers to the,2
True,,435.22,837.06,64,159.2,25,Redis and Memcached are both **in-memory,2
True,,437.44,841.19,64,158.5,21,Certainly! The **chain of thought prompt,2
True,,440.23,828.76,64,165.0,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,2
True,,427.42,813.71,64,165.6,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,2
True,,423.33,823.68,64,159.7,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,2
True,,433.92,827.81,64,161.8,22,自然语言处理（Natural Language Processing，简称NLP,2
True,,429.24,860.83,64,148.3,21,**大语言模型（Large Language Models，LLMs）** 是一,2
True,,465.04,878.46,64,154.9,22,你提到的“那个东西”指的是什么呢？如果你能提供更多背景信息，比如它是什么、在哪里,2
True,,444.65,849.56,64,158.2,21,您提到的“这个功能怎么用？”看起来是想了解某个特定功能的使用方法。不过，您没有具,2
True,,436.59,767.87,57,171.7,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,2
True,,371.54,744.41,64,169.2,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",2
True,,29.1,407.59,64,168.0,24,当然可以！**多Agent架构（Multi-Agent Architecture,4
True,,424.17,798.0,64,170.7,21,**RAG** 是 **Retrieval-Augmented Generati,4
True,,816.21,1185.26,64,172.0,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,4
True,,1200.48,1576.32,64,170.2,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,4
True,,1184.39,1559.98,64,170.0,22,**LoRA微调（LoRA: Low-Rank Adaptation）** 是一,4
True,,1187.29,1563.71,64,170.1,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,4
True,,1195.37,1593.45,64,159.6,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",4
True,,1218.29,1638.13,64,152.3,23,当然可以！以下是一些关于**机器学习**的高质量资料和资源，涵盖从基础到高级的内,4
True,,1264.14,1673.86,64,156.3,21,"当然可以！您想检索哪种技术文档呢？比如：

- **编程语言文档**（如 Pyt",4
True,,1297.84,1707.74,64,156.3,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,4
True,,1303.32,1717.42,64,154.5,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,4
True,,1298.33,1700.94,64,158.6,22,A **vector database** is a type of datab,4
True,,1291.31,1663.85,64,171.4,24,Authentication in a system refers to the,4
True,,1251.74,1625.48,64,171.3,25,Redis and Memcached are both **in-memory,4
True,,1215.28,1592.2,64,169.0,21,Certainly! The **chain of thought prompt,4
True,,1188.7,1601.61,64,155.1,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,4
True,,1229.57,1636.87,64,157.0,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,4
True,,1264.77,1641.63,64,169.8,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,4
True,,1263.08,1641.1,64,170.3,22,自然语言处理（Natural Language Processing，简称NLP,4
True,,1224.76,1602.37,64,169.5,21,**大语言模型（Large Language Models，LLMs）** 是一,4
True,,1192.46,1586.76,64,161.7,22,你提到的“那个东西”指的是什么呢？如果你能提供更多背景信息，比如它是什么、在哪里,4
True,,1209.57,1610.66,64,159.6,21,您提到的“这个功能怎么用？”看起来是想了解某个特定功能的使用方法。不过，您没有具,4
True,,1236.05,1579.73,57,166.2,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,4
True,,1210.86,1572.22,64,173.6,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",4
True,,35.93,413.55,64,169.5,24,当然可以！**多Agent架构（Multi-Agent Architecture,8
True,,429.14,810.96,64,167.5,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,8
True,,825.1,1205.16,64,168.3,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,8
True,,1223.45,1599.59,64,168.3,21,**RAG** 是 **Retrieval-Augmented Generati,8
True,,1611.86,1990.54,64,168.8,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,8
True,,2007.4,2382.87,64,170.7,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",8
True,,2399.47,2779.8,64,168.1,23,当然可以！以下是一些关于**机器学习**的高质量资料和资源，涵盖从基础到高级的内,8
True,,2798.49,3174.18,64,170.0,22,**LoRA微调（LoRA: Low-Rank Adaptation）** 是一,8
True,,2775.56,3153.36,64,169.6,21,"当然可以！您想检索哪种技术文档呢？比如：

- **编程语言文档**（如 Pyt",8
True,,2802.79,3173.02,64,170.1,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,8
True,,2814.2,3183.18,64,172.8,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,8
True,,2807.93,3184.63,64,169.7,22,A **vector database** is a type of datab,8
True,,2806.13,3183.88,64,169.6,24,Authentication in a system refers to the,8
True,,2810.37,3184.29,64,171.3,25,Redis and Memcached are both **in-memory,8
True,,2802.2,3183.87,64,167.7,21,Certainly! The **chain of thought prompt,8
True,,2812.25,3190.75,64,169.1,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,8
True,,2818.49,3194.61,64,169.9,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,8
True,,2797.74,3176.86,64,169.0,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,8
True,,2786.51,3158.82,64,172.1,22,自然语言处理（Natural Language Processing，简称NLP,8
True,,2780.38,3169.58,64,164.5,21,**大语言模型（Large Language Models，LLMs）** 是一,8
True,,2791.2,3167.38,64,170.2,22,你提到的“那个东西”指的是什么呢？如果你能提供更多背景信息，比如它是什么、在哪里,8
True,,2789.36,3192.24,64,158.9,21,您提到的“这个功能怎么用？”看起来是想了解某个特定功能的使用方法。不过，您没有具,8
True,,2810.38,3170.31,57,158.3,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,8
True,,2787.95,3177.63,64,164.1,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",8
True,,54.91,434.6,64,168.6,22,**LoRA微调（LoRA: Low-Rank Adaptation）** 是一,16
True,,475.62,879.22,64,158.6,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,16
True,,900.75,1297.25,64,159.8,21,"当然可以！您想检索哪种技术文档呢？比如：

- **编程语言文档**（如 Pyt",16
True,,1320.4,1715.39,64,162.1,21,Certainly! The **chain of thought prompt,16
True,,1736.95,2118.01,64,167.9,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,16
True,,2131.76,2513.13,64,167.9,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,16
True,,2529.21,2925.11,64,166.6,21,**RAG** 是 **Retrieval-Augmented Generati,16
True,,2935.12,3313.43,64,168.5,24,当然可以！**多Agent架构（Multi-Agent Architecture,16
True,,3329.38,3711.81,64,167.6,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,16
True,,3722.61,4111.61,64,164.5,25,Redis and Memcached are both **in-memory,16
True,,4129.16,4501.68,64,172.0,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,16
True,,4517.25,4890.27,64,171.5,23,当然可以！以下是一些关于**机器学习**的高质量资料和资源，涵盖从基础到高级的内,16
True,,4905.53,5278.98,64,171.3,24,Authentication in a system refers to the,16
True,,5297.15,5691.6,64,162.1,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",16
True,,5703.15,6104.91,64,159.5,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,16
True,,6121.94,6531.06,64,156.6,22,A **vector database** is a type of datab,16
True,,6115.23,6525.2,64,156.2,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,16
True,,6094.15,6474.49,64,168.1,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,16
True,,6071.34,6448.19,64,169.9,22,自然语言处理（Natural Language Processing，简称NLP,16
True,,6042.93,6430.05,64,165.7,21,**大语言模型（Large Language Models，LLMs）** 是一,16
True,,6045.68,6459.66,64,154.6,22,你提到的“那个东西”指的是什么呢？如果你能提供更多背景信息，比如它是什么、在哪里,16
True,,6079.03,6469.02,64,164.2,21,您提到的“这个功能怎么用？”看起来是想了解某个特定功能的使用方法。不过，您没有具,16
True,,6073.34,6406.51,57,171.1,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,16
True,,6034.18,6408.3,64,171.2,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",16
