config,workload,idx,predicted_n,prompt_ms,decode_tps,wall_ms,draft_tokens,accepted_tokens,accept_rate,verify_rounds,output_sha,output_chars
draft-k8,B-自由摘要,2,200,27.07,88.5,2315.9,368.0,153.0,41.6,46.0,78cfea014db99cd0,324
draft-k8,B-自由摘要,3,200,25.94,110.9,1865.8,292.0,162.0,55.5,37.0,9e3f66c5bcb79c47,296
draft-k8,B-自由摘要,4,200,23.79,112.6,1825.4,286.0,163.0,57.0,36.0,83db26525461ed37,376
draft-k8,B-自由摘要,5,200,23.12,101.0,2020.7,319.0,159.0,49.8,40.0,af5eb8bbf9404fae,296
draft-k16,A-结构化抽取,0,160,104.95,53.1,3104.1,601.0,117.0,19.5,41.0,3538a112cfa805eb,287
draft-k16,A-结构化抽取,1,160,26.55,81.3,2023.6,399.0,133.0,33.3,26.0,af7d9fd3c00c242f,247
draft-k16,A-结构化抽取,2,160,22.84,71.8,2273.2,459.0,130.0,28.3,29.0,129f5d18a0bb9064,301
draft-k16,A-结构化抽取,3,160,23.48,105.8,1563.6,306.0,139.0,45.4,20.0,1e595effe47617c1,248
draft-k16,A-结构化抽取,4,160,22.55,100.1,1647.4,324.0,138.0,42.6,21.0,61737bce2f27b835,334
draft-k16,A-结构化抽取,5,160,23.97,69.9,2321.0,474.0,129.0,27.2,30.0,d1b0404eedac9bc0,339
draft-k16,B-自由摘要,0,200,25.32,41.0,4918.9,983.0,134.0,13.6,65.0,2149710f73bc5761,298
draft-k16,B-自由摘要,1,200,24.29,38.1,5285.1,1070.0,131.0,12.2,68.0,a39559a8151c665f,324
draft-k16,B-自由摘要,2,200,23.67,39.6,5080.3,1024.0,132.0,12.9,67.0,c822b07c4c52920d,314
draft-k16,B-自由摘要,3,200,22.81,82.6,2472.6,480.0,169.0,35.2,30.0,2fd049d6f4d5d427,292
draft-k16,B-自由摘要,4,200,26.16,73.6,2758.5,542.0,165.0,30.4,34.0,68063964efd45f87,346
draft-k16,B-自由摘要,5,200,22.46,79.3,2557.6,497.0,167.0,33.6,32.0,574b6b8df1a16b6a,307
ngram,A-结构化抽取,0,160,84.65,208.9,863.1,53.0,53.0,100.0,2.0,f03bae85275146cb,309
ngram,A-结构化抽取,1,160,15.99,347.9,486.0,115.0,100.0,87.0,7.0,4ad9da15f4086f25,247
ngram,A-结构化抽取,2,160,16.23,161.3,1029.8,11.0,11.0,100.0,1.0,26d3302c155f81ac,309
ngram,A-结构化抽取,3,160,17.26,491.0,367.4,119.0,119.0,100.0,7.0,1e595effe47617c1,248
ngram,A-结构化抽取,4,160,18.71,216.2,767.9,126.0,57.0,45.2,4.0,537a595b3a65d399,331
ngram,A-结构化抽取,5,160,16.99,608.2,304.6,128.0,128.0,100.0,3.0,2cc1e537ef55a6d8,241
ngram,B-自由摘要,0,200,19.18,152.2,1353.2,0.0,0.0,0.0,0.0,38a197f4a3c16d45,296
ngram,B-自由摘要,1,200,17.5,181.9,1142.7,34.0,34.0,100.0,1.0,a5c972a21e385186,335
ngram,B-自由摘要,2,200,17.27,180.6,1147.7,33.0,33.0,100.0,1.0,609fb9d0187ce840,312
ngram,B-自由摘要,3,200,17.83,325.6,643.2,145.0,115.0,79.3,4.0,8822466dfd6a9923,302
ngram,B-自由摘要,4,200,16.42,152.6,1334.5,0.0,0.0,0.0,0.0,e0dd7e01b2de38c6,369
ngram,B-自由摘要,5,200,16.47,393.1,551.2,148.0,131.0,88.5,4.0,dded79a424217709,305
