ok,error,ttft_ms,total_ms,output_tokens,decode_tps,prompt_tokens,text,concurrency
True,,62.73,660.57,64,107.2,21,当然可以！您提到“检索相关的技术文档”，但您没有具体说明是哪方面的技术文档，比如,4
True,,61.4,658.92,64,107.2,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,4
True,,63.12,661.83,64,107.3,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,4
True,,61.88,660.1,64,107.3,22,A **vector database** is a type of datab,4
True,,58.75,655.45,64,107.3,21,Certainly! The **chain of thought prompt,4
True,,59.27,656.11,64,107.4,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,4
True,,60.46,657.93,64,107.3,24,Authentication in a system refers to the,4
True,,61.13,659.1,64,107.4,25,Redis and Memcached are both **in-memory,4
True,,52.14,641.07,64,108.6,22,自然语言处理（Natural Language Processing，简称NLP,4
True,,52.72,642.47,64,108.7,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,4
True,,54.62,644.09,64,108.7,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,4
True,,52.62,642.85,64,108.8,21,**大语言模型（Large Language Models，LLMs）** 是一,4
True,,50.64,577.92,57,108.2,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,4
True,,51.64,704.34,64,98.2,22,你提到的“那个东西”指的是什么呢？如果你能具体说明一下你指的是什么（比如某个设备,4
True,,50.46,702.94,64,98.2,21,您提到的“这个功能怎么用？”看起来是想了解某个具体功能的使用方法。不过，您没有说,4
True,,50.2,702.05,64,98.3,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",4
True,,59.03,656.45,64,107.2,21,**RAG** 是 **Retrieval-Augmented Generati,8
True,,59.17,657.92,64,107.3,24,当然可以！**多Agent架构（Multi-Agent Architecture,8
True,,59.45,658.18,64,107.3,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,8
True,,60.93,659.61,64,107.4,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,8
True,,695.45,1285.16,64,108.6,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",8
True,,695.66,1287.14,64,108.6,23,当然可以！以下是一些关于**机器学习**的资料推荐，涵盖从基础到高级的内容，适合,8
True,,697.13,1287.97,64,108.7,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,8
True,,697.28,1287.73,64,108.7,22,**LoRA（Low-Rank Adaptation）微调**是一种高效的模型微,8
True,,678.13,1275.46,64,107.5,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,8
True,,680.19,1277.99,64,107.4,21,当然可以！您提到“检索相关的技术文档”，但您没有具体说明是哪方面的技术文档，比如,8
True,,677.85,1276.65,64,107.5,22,A **vector database** is a type of datab,8
True,,679.82,1278.0,64,107.6,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,8
True,,682.82,1269.95,64,109.0,24,Authentication in a system refers to the,8
True,,680.71,1269.22,64,109.1,21,Certainly! The **chain of thought prompt,8
True,,681.8,1271.62,64,109.2,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,8
True,,681.77,1272.91,64,109.1,25,Redis and Memcached are both **in-memory,8
True,,664.4,1255.17,64,108.3,22,自然语言处理（Natural Language Processing，简称NLP,8
True,,666.92,1257.82,64,108.5,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,8
True,,664.03,1255.98,64,108.3,21,**大语言模型（Large Language Models，LLMs）** 是一,8
True,,666.33,1257.7,64,108.4,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,8
True,,672.14,1202.22,57,107.7,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,8
True,,675.26,1269.57,64,107.6,22,你提到的“那个东西”指的是什么呢？如果你能具体说明一下你指的是什么（比如某个设备,8
True,,674.34,1268.2,64,107.7,21,您提到的“这个功能怎么用？”看起来是想了解某个具体功能的使用方法。不过，您没有说,8
True,,670.4,1265.0,64,107.7,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",8
True,,70.98,666.57,64,107.6,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,16
True,,70.29,667.37,64,107.6,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",16
True,,71.7,668.72,64,107.7,22,**LoRA（Low-Rank Adaptation）微调**是一种高效的模型微,16
True,,71.22,667.66,64,107.7,22,A **vector database** is a type of datab,16
True,,704.11,1298.42,64,107.7,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,16
True,,707.37,1303.18,64,107.7,21,**RAG** 是 **Retrieval-Augmented Generati,16
True,,707.15,1302.75,64,107.8,23,当然可以！以下是一些关于**机器学习**的资料推荐，涵盖从基础到高级的内容，适合,16
True,,707.29,1303.87,64,107.8,24,当然可以！**多Agent架构（Multi-Agent Architecture,16
True,,1340.01,1930.37,64,108.7,21,Certainly! The **chain of thought prompt,16
True,,1342.32,1931.88,64,108.8,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,16
True,,1344.66,1933.91,64,108.8,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,16
True,,1341.56,1932.33,64,108.7,21,当然可以！您提到“检索相关的技术文档”，但您没有具体说明是哪方面的技术文档，比如,16
True,,1980.55,2571.99,64,108.5,24,Authentication in a system refers to the,16
True,,1982.62,2574.26,64,108.5,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,16
True,,1982.45,2573.31,64,108.6,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,16
True,,1981.05,2572.67,64,108.6,25,Redis and Memcached are both **in-memory,16
True,,1940.95,2538.57,64,107.3,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,16
True,,1939.22,2536.62,64,107.4,22,自然语言处理（Natural Language Processing，简称NLP,16
True,,1940.0,2537.04,64,107.4,21,**大语言模型（Large Language Models，LLMs）** 是一,16
True,,1940.83,2538.47,64,107.4,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,16
True,,1940.78,2457.78,57,110.4,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,16
True,,1940.44,2579.42,64,100.3,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",16
True,,1940.5,2580.94,64,100.1,21,您提到的“这个功能怎么用？”看起来是想了解某个具体功能的使用方法。不过，您没有说,16
True,,1943.17,2583.35,64,100.1,22,你提到的“那个东西”指的是什么呢？如果你能具体说明一下你指的是什么（比如某个设备,16
